"","Player","Age","Team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Season","Player.additional","College","height","weight","Pos_C","Pos_F","Pos_G","Pos_SG"
"3978","Zaza Pachulia",0.5,"DAL",0.892857142857143,0.831325301204819,0.602325581395349,0.237704918032787,0.227941176470588,0.466,0,0,0,0.263636363636364,0.274774774774775,0.469,0.310666666666667,0.274509803921569,0.292682926829268,0.768,0.611111111111111,0.543859649122807,0.5875,0.145299145299145,0.266666666666667,0.0810810810810811,0.280701754385965,0.4,0.238227146814404,NA,"15-16","pachuza01","None",0.72,0.625550660792952,1,0,0,0
"3979","Cory Joseph",0.230769230769231,"TOR",0.94047619047619,0.0481927710843374,0.583720930232558,0.262295081967213,0.268382352941176,0.439,0.0754716981132076,0.106060606060606,0.273,0.254545454545455,0.265765765765766,0.478,0.31,0.166666666666667,0.178861788617886,0.764,0.0925925925925926,0.184210526315789,0.1625,0.264957264957265,0.266666666666667,0.0810810810810811,0.228070175438596,0.266666666666667,0.235457063711911,NA,"15-16","josepco01","Texas",0.4,0.251101321585903,0,0,0,1
"3980","Jon Leuer",0.307692307692308,"PHO",0.785714285714286,0.325301204819277,0.423255813953488,0.270491803278689,0.257352941176471,0.481,0.113207547169811,0.121212121212121,0.382,0.245454545454545,0.238738738738739,0.511,0.350666666666667,0.107843137254902,0.121951219512195,0.762,0.203703703703704,0.385964912280702,0.35,0.094017094017094,0.2,0.108108108108108,0.192982456140351,0.316666666666667,0.235457063711911,NA,"15-16","leuerjo01","Wisconsin",0.68,0.418502202643172,0,1,0,0
"3981","Patty Mills",0.346153846153846,"SAS",0.952380952380952,0.036144578313253,0.465116279069767,0.262295081967213,0.279411764705882,0.425,0.283018867924528,0.303030303030303,0.384,0.154545454545455,0.162162162162162,0.469,0.35,0.0588235294117647,0.056910569105691,0.81,0.0555555555555556,0.140350877192982,0.125,0.239316239316239,0.233333333333333,0.027027027027027,0.157894736842105,0.216666666666667,0.235457063711911,NA,"15-16","millspa02","St. Mary's",0.28,0.229074889867841,0,0,1,0
"3982","Nik Stauskas",0.153846153846154,"PHI",0.857142857142857,0.421686746987952,0.565116279069767,0.237704918032787,0.275735294117647,0.385,0.283018867924528,0.340909090909091,0.326,0.127272727272727,0.135135135135135,0.473,0.322,0.117647058823529,0.130081300813008,0.771,0.0555555555555556,0.192982456140351,0.15625,0.162393162393162,0.2,0.0810810810810811,0.228070175438596,0.266666666666667,0.235457063711911,NA,"15-16","stausni01","Michigan",0.52,0.317180616740088,0,0,0,1
"3983","Tony Allen",0.615384615384615,"MEM",0.75,0.686746987951807,0.576744186046512,0.278688524590164,0.268382352941176,0.458,0.0377358490566038,0.053030303030303,0.357,0.281818181818182,0.301801801801802,0.468,0.316,0.137254901960784,0.178861788617886,0.652,0.296296296296296,0.263157894736842,0.2875,0.094017094017094,0.566666666666667,0.0810810810810811,0.210526315789474,0.45,0.232686980609418,"DPOY-8","15-16","allento01","Oklahoma State",0.44,0.352422907488987,0,0,0,1
"3984","Meyers Leonard",0.192307692307692,"POR",0.714285714285714,0.120481927710843,0.497674418604651,0.262295081967213,0.261029411764706,0.448,0.264150943396226,0.28030303030303,0.377,0.163636363636364,0.153153153153153,0.527,0.364666666666667,0.0588235294117647,0.0650406504065041,0.761,0.148148148148148,0.37719298245614,0.31875,0.128205128205128,0.0333333333333333,0.0810810810810811,0.228070175438596,0.5,0.232686980609418,NA,"15-16","leoname01","Illinois",0.8,0.493392070484582,0,1,0,0
"3985","Tony Wroten",0.153846153846154,"PHI",0.0833333333333333,0.036144578313253,0.406976744186047,0.229508196721311,0.297794117647059,0.338,0.0754716981132076,0.159090909090909,0.176,0.218181818181818,0.27027027027027,0.396,0.241333333333333,0.245098039215686,0.373983739837398,0.541,0.0555555555555556,0.210526315789474,0.1625,0.213675213675214,0.133333333333333,0,0.631578947368421,0.233333333333333,0.232686980609418,NA,"15-16","wroteto01","Washington",0.52,0.317180616740088,0,0,1,0
"3986","Lance Stephenson",0.269230769230769,"2TM",0.80952380952381,0.156626506024096,0.451162790697674,0.270491803278689,0.253676470588235,0.481,0.0754716981132076,0.0833333333333333,0.385,0.263636363636364,0.256756756756757,0.5,0.342,0.127450980392157,0.130081300813008,0.784,0.111111111111111,0.236842105263158,0.2,0.162393162393162,0.2,0.027027027027027,0.245614035087719,0.333333333333333,0.229916897506925,NA,"15-16","stephla01","Cincinnati",0.48,0.427312775330396,0,1,0,0
"3987","Jusuf Nurkić",0.115384615384615,"DEN",0.369047619047619,0.036144578313253,0.386046511627907,0.262295081967213,0.279411764705882,0.417,0,0.00757575757575758,0,0.290909090909091,0.337837837837838,0.423,0.278,0.186274509803922,0.252032520325203,0.616,0.37037037037037,0.298245614035088,0.34375,0.111111111111111,0.266666666666667,0.378378378378378,0.298245614035088,0.466666666666667,0.227146814404432,NA,"15-16","nurkiju01","None",0.76,0.647577092511013,1,0,0,0
"3988","Lance Thomas",0.346153846153846,"NYK",0.69047619047619,0.0602409638554217,0.506976744186047,0.237704918032787,0.238970588235294,0.442,0.132075471698113,0.136363636363636,0.404,0.190909090909091,0.207207207207207,0.458,0.333333333333333,0.166666666666667,0.16260162601626,0.857,0.111111111111111,0.140350877192982,0.1375,0.0769230769230769,0.133333333333333,0.027027027027027,0.175438596491228,0.3,0.227146814404432,NA,"15-16","thomala01","Duke",0.6,0.449339207048458,0,1,0,0
