Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Travesa Gant,LAS,C,2,13,2,0,13,0,1,0,0,0,,0,1,0,0,0,,0,3,0,0,0,2,4,0
Toni Foster,PHO,F-C,28,736,28,28,736,94,201,0.468,1,6,0.167,93,195,0.477,57,81,0.704,64,170,27,53,21,52,77,246
Kisha Ford,NYL,G-F,28,473,28,3,473,43,114,0.377,3,20,0.15,40,94,0.426,27,44,0.614,28,48,25,28,5,38,56,116
Isabelle Fijalkowski,CLE,F-C,28,803,28,28,803,125,246,0.508,1,4,0.25,124,242,0.512,81,103,0.786,62,157,68,17,17,73,129,332
Michelle Edwards,CLE,G,20,622,20,14,622,76,170,0.447,6,25,0.24,70,145,0.483,45,86,0.523,13,70,89,35,3,77,40,203
Tamecka Dixon,LAS,G,27,715,27,21,715,115,252,0.456,22,52,0.423,93,200,0.465,68,88,0.773,22,81,55,49,5,58,76,320
Cassandra Crumpton-Moorer,NYL,G,2,11,2,0,11,1,4,0.25,0,1,0,1,3,0.333,0,0,,1,2,1,0,0,1,0,2
Mikiko Hagiwara,TOT,G,26,360,26,7,360,25,86,0.291,17,61,0.279,8,25,0.32,9,16,0.563,7,23,20,4,2,16,16,76
Mikiko Hagiwara,SAC,G,14,174,14,2,174,15,47,0.319,9,33,0.273,6,14,0.429,4,6,0.667,2,9,10,2,2,9,6,43
Mikiko Hagiwara,PHO,G,12,186,12,5,186,10,39,0.256,8,28,0.286,2,11,0.182,5,10,0.5,5,14,10,2,0,7,10,33
